date,time,tweet,tweet_id,hashtags,user_id,username,location,num_followers,geo_enabled,long,lat,relevant,neg_sent_score,neu_sent_score,pos_sent_score,compound_sent_score,sent_class,query_location
2022-03-03,00:51:12,"“With the dusting of powder, supportable snow, and little wind, many critters left their mark. The coyotes were howling in Dana Meadows and so many tracks abound, it appeared as if they were having a party. Perhaps they were celebrating the abundance of prey in the area..” https://t.co/1lBkhymNAb",1499185588997480451,[],19424173,bethpratt,Yosemite National Park,3440,True,,,1.0,0.0,0.878,0.122,0.7506,positive,fresno
2022-03-17,17:25:39,@morganthegray I watched that one I think and it was adorable. However having been the proud owner of a camera that was peed on by coyotes and kit foxes I can tell you....it's not fun,1504509278291316752,[],251056368,pchrysafis,"Fresno, CA",5212,False,,,0.0,0.066,0.78,0.154,0.5571,positive,fresno
2022-03-17,16:58:00,Original Art Stories - Xueling Zou: Plein Air @ Coyote Valley Open Space Preserve Morg... https://t.co/p7VpM7iNSK #story #art,1504502320981168150,"['story', 'art']",792207762,zxling1,"San Francisco Bay Area, CA",6077,False,,,0.0,0.0,0.881,0.119,0.3182,positive,fresno
2022-03-17,14:23:56,"To this day I have no idea what drew the coyotes and kit foxes to sniff and roll at this spot. I didn't use any lure, I didn't see any animal marking and my boots were (as far as I know) scentless. It remains a mystery but made for good compositions. https://t.co/8VburTwXnb",1504463549300543493,[],251056368,pchrysafis,"Fresno, CA",5212,False,,,0.0,0.029,0.902,0.069,0.5023,positive,fresno
2022-03-17,12:18:21,Oh hell no. Just saw a coyote walking in to work 🥴🤯😭,1504431947698696193,[],348323102,aprilelodie,"Longbeach, California",64,True,,,0.0,0.325,0.675,0.0,-0.8271,negative,fresno
2022-03-17,03:58:00,Original Art Stories - Xueling Zou: Plein Air @ Coyote Valley Open Space Preserve Morg... https://t.co/p7VpM7Aphk,1504306027205992455,[],792207762,zxling1,"San Francisco Bay Area, CA",6077,False,,,0.0,0.0,0.867,0.133,0.3182,positive,fresno
2022-03-16,03:58:00,Original Art Stories - Xueling Zou: Plein Air @ Coyote Valley Open Space Preserve Morg... https://t.co/p7VpM7iNSK,1503943639419949056,[],792207762,zxling1,"San Francisco Bay Area, CA",6077,False,,,0.0,0.0,0.867,0.133,0.3182,positive,fresno
2022-03-15,20:42:48,@Wil_D_Coyote @ArmandDoma @fortifiedneolib No he’s talking about the settler-colonist fantasy Yeomen farmer advocates.,1503834116877271042,[],545513531,ZeframM,"Bay Area, CA",769,False,,,0.0,0.155,0.845,0.0,-0.296,negative,fresno
2022-03-15,19:31:49,"🔒: Avs/Kings U6 
Also got Winnipeg Jets ML in regulation 
Isles +1.5/Coyotes +1.5/ Stars ML parlay",1503816253533671431,[],1033481876,I_AM_JAMing13,Southern California,370,True,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-15,18:21:19,"⛳️🏌🏻‍♀️✨Amazing 4K drone footage that invites you to feel like a bird soaring over green symposium and see the beauty of nature in Coyote Hills Golf Course, California. 

#4k #drone #california #golf #골프 #드론 

https://t.co/6XemEJVrBb",1503798514286956545,"['4k', 'drone', 'california', 'golf', '골프', '드론']",126689237,SBSINTL,"Los Angeles, CA",2614,True,,,0.0,0.0,0.872,0.128,0.743,positive,fresno
2022-03-15,17:57:00,Original Art Stories - Xueling Zou: Plein Air @ Coyote Valley Open Space Preserve Morg... https://t.co/p7VpM7Aphk #story #art,1503792392842981379,"['story', 'art']",792207762,zxling1,"San Francisco Bay Area, CA",6077,False,,,0.0,0.0,0.881,0.119,0.3182,positive,fresno
2022-03-15,15:52:53,"Of Songdogs and Ravens. Fun fact. There is a dead elk on this picture. If you look closely on the buttom left of the spring house you can see the half moon shape of an antler. The entire skeleton sustained coyotes, kit foxes, ravens and other scavengers. https://t.co/mnzcxfmQFc",1503761159605870607,[],251056368,pchrysafis,"Fresno, CA",5212,False,,,1.0,0.08,0.858,0.062,-0.25,negative,fresno
2022-03-15,08:04:36,Coyotes' Jakob Chychrun out two to four weeks with lower-body injury #Yardbarker #NHL https://t.co/yKJweHppkA,1503643312376324099,"['Yardbarker', 'NHL']",340070780,x3tko,"Bay Area, CA",1479,False,,,0.0,0.177,0.823,0.0,-0.4215,negative,fresno
2022-03-15,05:42:09,"2/2 for the day 
Coyotes ML ✅ 
Siakam O7.5 rebounds ✅",1503607464494653445,[],1033481876,I_AM_JAMing13,Southern California,370,True,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-15,04:34:52,"3/14
🏒Coyotes ML +130✅💰
🏒Coyotes/Sens o6 -105✅💰
🏀Sabonis o5.5 ast -114❌
🏀Nuggets +3 -110✅💰

3-1 night Sabonis ends with 4.
+2.16u to start the week🔥💰

TOMORROW THE MADNESS BEGINS https://t.co/syG6Gxthut https://t.co/kpSoYuT8y8",1503590530218823681,[],1378934730637275138,Bofa_Bets,"SD, California",408,False,,,0.0,0.1,0.9,0.0,-0.7213,negative,fresno
2022-03-15,03:55:51,"@joye_tim In our old town, which was in a forest, when wildlife was killed by a car, the forestry service would just pull the carcass off the road onto the shoulder and let the buzzards and coyotes and other scavengers take care of the clean up. It never took long.",1503580710593957888,[],1349085051477139457,seguebythesea,Northern California,1676,False,,,1.0,0.078,0.819,0.103,0.1027,positive,fresno
2022-03-15,01:43:36,"Coyotes/Sens o6✅💰
Easy cash Yotes up 4-3 need them to close it out https://t.co/syG6Gxthut",1503547431950053376,[],1378934730637275138,Bofa_Bets,"SD, California",408,False,,,0.0,0.0,0.868,0.132,0.4404,positive,fresno
2022-03-14,21:35:10,"Join the San Jose Sharks for Girl Scout night on Sunday, March 20th at the SAP Center in San Jose!  All attendees 5 and over must show proof of full vaccination OR proof of a negative COVID-19 test result.  For tickets and more info visit https://t.co/sDr3jnu92l https://t.co/M70GtNAjt2",1503484910996176904,[],51278095,GSNorCal,Northern California,3802,True,,,0.0,0.078,0.879,0.043,-0.4199,negative,fresno
2022-03-14,21:00:12,Saw a coyote on campus. Effervescent.,1503476109945450496,[],1306714726831849472,Wolf_Jaws,"CA, USA",90,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-14,19:01:01,"@OspreysFB @Rockies @Mariners @BlueJays @LooneyTunes @TLuvsBaseball @ElShaungo_ @RBCoachReaper @jay_pea619 @SnottieDrippen @miggy_roman @SneakerAdmirals @d_reisenger @chiguy2420 @CraccCobain Appropriate that the Rockies would be Wile E. Coyote 😂 Superb job, man! They look great!",1503446118440472576,[],560825707,Interstate19,Southern California,1553,True,,,0.0,0.042,0.682,0.277,0.9133,positive,fresno
2022-03-14,16:52:10,"@ashfall_coyote It's genius because the leaking valve seals will create an ad-hoc smoke screen, we don't need no CBRN let the engine oil burn 🔥",1503413691965865987,[],496683392,SpotGideon,"Bay Area, CA ",5462,True,,,0.0,0.085,0.775,0.14,0.1501,positive,fresno
2022-03-14,16:44:44,"BOFA'S BET #1-2
Arizona Coyotes ML +130
AZ/OTT o6 -105

Gustavsson in net for Sens. 3-9 on the szn. 3.66 goals per game. Last 5 starts 0-5 about 4 goals a game. AZ has been playing good scoring 8,9,5 in 3 of last 4. Wedge likely to start for Az. 3-2 in his last 5, 3 goals a game.",1503411821696335873,[],1378934730637275138,Bofa_Bets,"SD, California",408,False,,,0.0,0.0,0.924,0.076,0.5719,positive,fresno
2022-03-14,03:51:25,@cmd34 More like how much faster did I run once I heard coyotes,1503217206154334213,[],25883976,rachelcowboys,Southern California,2503,True,,,1.0,0.0,0.811,0.189,0.4201,positive,fresno
2022-03-13,03:02:19,"THE WILDCATS ARE SWEET 16 BOUND. They defeat the Coyotes 91-82, they swept them 3-0 on the season. THIS TEAM IS DIFFERENT. Orr with a game-high 26 points off the bench. 10-13 from the field. West Regional championship bound for the Wildcats.",1502842464591224833,[],1431677151347048448,jhm1226,"Chico, CA",91,True,,,0.0,0.062,0.802,0.136,0.5622,positive,fresno
2022-03-13,02:30:12,The Wildcats are up 75-66 over the Coyotes with 8 minutes remaining in the second half.,1502834383346044930,[],1431677151347048448,jhm1226,"Chico, CA",91,True,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-13,00:31:24,"@Chazz_Coyote @GarthTheWolf My question is: Is there no DJ variety selected or no DJ variety stepping up, because these both have differing means of resolve. And everyone is going to have preferences ofc, i think a good compromise would be having a different genre each night giving variety and highlights",1502804484530978821,[],1052778628000374784,FriskiRaccoon,"Fresno, CA",156,True,,,0.0,0.077,0.785,0.138,0.5423,positive,fresno
2022-03-12,17:16:00,Check out this new painting that I uploaded to https://t.co/TYvfOJmVqU! https://t.co/TbCH3m93qe,1502694911505842180,[],792207762,zxling1,"San Francisco Bay Area, CA",6077,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-12,13:26:41,@EscobarBrangus Coyotes have started running alongside https://t.co/53hE00pOX3,1502637204471910400,[],1584035035,1962Kiser,Southern California,1757,True,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-12,09:24:40,Can't Stop the Coyotes #YahooSports #NHL https://t.co/abDArykV3g,1502576298266292225,"['YahooSports', 'NHL']",340070780,x3tko,"Bay Area, CA",1479,False,,,0.0,0.0,0.761,0.239,0.2235,positive,fresno
2022-03-12,08:12:24,2022 trade deadline primer: Arizona Coyotes #Yardbarker #NHL https://t.co/eCS6dV3Xnk,1502558110921023491,"['Yardbarker', 'NHL']",340070780,x3tko,"Bay Area, CA",1479,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
