"","id","county","x.cen","y.cen","xmin","xmax","ymin","ymax","sqkm","inclusion","ppt"
"3282",3282,"SAN BERNARDINO",341023.41877722,-364929.12721212,-116.332677617178,-116.219302741083,34.6249670517061,34.7185267959326,100,1,116.872444915771
"3283",3283,"SAN BERNARDINO",351023.41877722,-364929.12721212,-116.223652458121,-116.110162284673,34.6213276204454,34.7149871201088,100,1,114.299900131226
"3284",3284,"SAN BERNARDINO",361023.41877722,-364929.12721212,-116.114637291018,-116.001032142586,34.6175846720592,34.7113438039605,100,1,102.041500244141
"3285",3285,"SAN BERNARDINO",371023.41877722,-364929.12721212,-116.00563240272,-115.8919126025,34.6137382202815,34.7075968609204,100,1,112.116500015259
"3286",3286,"SAN BERNARDINO",381023.41877722,-364929.12721212,-115.896638079919,-115.782803951922,34.609788279221,34.7037463047984,100,1,116.992111036513
"3287",3287,"SAN BERNARDINO",391023.41877722,-364929.12721212,-115.787654609139,-115.673706478189,34.6057348633611,34.6997921497816,100,1,122.651399917603
"3288",3288,"SAN BERNARDINO",401023.41877722,-364929.12721212,-115.678682276732,-115.564620468459,34.6015779875591,34.6957344104333,100,1,127.787900466919
"3289",3289,"SAN BERNARDINO",411023.41877722,-364929.12721212,-115.569721368873,-115.455546209709,34.5973176670457,34.6915731016934,100,1,135.004000396729
"3290",3290,"SAN BERNARDINO",421023.41877722,-364929.12721212,-115.460772171557,-115.346483988731,34.592953917425,34.687308238877,100,1,116.337699432373
"3291",3291,"SAN BERNARDINO",431023.41877722,-364929.12721212,-115.351834970594,-115.237434092123,34.5884867546735,34.6829398376745,100,1,132.517777760824
"3292",3292,"SAN BERNARDINO",441023.41877722,-364929.12721212,-115.242910051604,-115.12839680629,34.5839161951398,34.6784679141508,100,1,195.256699981689
"3293",3293,"SAN BERNARDINO",451023.41877722,-364929.12721212,-115.133997700013,-115.019372417438,34.5792422555439,34.6738924847451,100,1,159.397400665283
"3294",3294,"SAN BERNARDINO",461023.41877722,-364929.12721212,-115.025098201049,-114.910361211567,34.5744649529771,34.6692135662701,100,1,141.745599975586
"3295",3295,"SAN BERNARDINO",471023.41877722,-364929.12721212,-114.916211839736,-114.801363474469,34.5695843049009,34.6644311759116,100,1,148.057555135091
"3296",3296,"SAN BERNARDINO",481023.41877722,-364929.12721212,-114.807338900891,-114.692379491725,34.564600329147,34.6595453312277,100,1,140.694300537109
"3297",3297,"SAN BERNARDINO",491023.41877722,-364929.12721212,-114.698479669119,-114.583409548695,34.5595130439163,34.6545560501489,100,1,150.152500610352
"3298",3298,"SAN BERNARDINO",501023.41877722,-364929.12721212,-114.58963442881,-114.474453930519,34.5543224677786,34.6494633509768,100,1,147.243600845337
"3299",3299,"SANTA BARBARA",-48976.58122278,-374929.12721212,-120.589380824206,-120.479638550034,34.5954569079344,34.6860574224062,100,1,427.571998765733
"3300",3300,"SANTA BARBARA",-38976.58122278,-374929.12721212,-120.480190952326,-120.370573012716,34.595964535255,34.6864618361032,100,1,423.338778686523
"3301",3301,"SANTA BARBARA",-28976.58122278,-374929.12721212,-120.370999806584,-120.261506494577,34.5963685178032,34.6867624929328,100,1,448.374778917101
"3302",3302,"SANTA BARBARA",-18976.58122278,-374929.12721212,-120.261807676627,-120.152439284281,34.5966688540943,34.6869593917848,100,1,470.176543059172
"3303",3303,"SANTA BARBARA",-8976.58122278,-374929.12721212,-120.15261485212,-120.043371670505,34.5968655430246,34.6870525319326,100,1,521.979999457465
"3304",3304,"SANTA BARBARA",1023.41877722,-374929.12721212,-120.043421622737,-119.934228278159,34.596947976292,34.6870525319326,100,1,618.848666042752
"3305",3305,"SANTA BARBARA",11023.41877722,-374929.12721212,-119.934303941931,-119.82503510807,34.5968337203261,34.6870419130321,100,1,722.998111300998
"3306",3306,"SANTA BARBARA",21023.41877722,-374929.12721212,-119.825236387244,-119.715842402148,34.5966158163935,34.6869275351226,100,1,818.564197681568
"3307",3307,"SANTA BARBARA",31023.41877722,-374929.12721212,-119.716169295125,-119.606650450068,34.5962942652949,34.6867093986263,100,1,917.060666232639
"3308",3308,"SANTA BARBARA",41023.41877722,-374929.12721212,-119.607102954248,-119.497459541489,34.5958690682122,34.6863875043486,100,1,887.952442084418
"3309",3309,"VENTURA",51023.41877722,-374929.12721212,-119.498037653277,-119.388269966057,34.5953402267079,34.6859618534778,100,1,863.867112901476
"3310",3310,"VENTURA",61023.41877722,-374929.12721212,-119.388973680856,-119.279082013394,34.5947077427255,34.6854324475852,99.9999999999999,0.999999999999999,821.58011203342
"3311",3311,"VENTURA",71023.41877722,-374929.12721212,-119.27991132561,-119.169895973097,34.5939716185893,34.6847992886249,100,1,857.802220474055
"3312",3312,"VENTURA",81023.41877722,-374929.12721212,-119.170850876139,-119.060712134733,34.5931318570039,34.6840623789341,100,1,741.572222900391
"3313",3313,"VENTURA",91023.41877722,-374929.12721212,-119.06179262101,-118.951530787833,34.5921884610549,34.6832217212327,100,1,745.063555230035
"3314",3314,"VENTURA",101023.41877722,-374929.12721212,-118.952736848759,-118.84235222189,34.5911414342084,34.6822773186233,100,1,739.514552137587
"3315",3315,"VENTURA",111023.41877722,-374929.12721212,-118.843683847879,-118.733176726351,34.5899907803105,34.681229174591,100,1,524.297406985436
"3316",3316,"LOS ANGELES",121023.41877722,-374929.12721212,-118.734633906822,-118.624004590616,34.588736503588,34.6800772930035,100,1,534.742333645291
"3317",3317,"LOS ANGELES",131023.41877722,-374929.12721212,-118.625587313988,-118.514836104029,34.5873786086475,34.6788216781109,100,1,625.167447238498
"3318",3318,"LOS ANGELES",141023.41877722,-374929.12721212,-118.516544357727,-118.405671555878,34.5859171004757,34.6774623345456,100,1,540.66311340332
"3319",3319,"LOS ANGELES",151023.41877722,-374929.12721212,-118.40750532633,-118.296511235388,34.5843519844393,34.6759992673217,100,1,446.071778700087
"3320",3320,"LOS ANGELES",161023.41877722,-374929.12721212,-118.298470508025,-118.187355431717,34.5826832662844,34.6744324818359,100,1,282.984320558148
"3321",3321,"LOS ANGELES",171023.41877722,-374929.12721212,-118.189440190975,-118.07820443395,34.5809109521366,34.6727619838659,100,1,200.758666653103
"3322",3322,"LOS ANGELES",181023.41877722,-374929.12721212,-118.080414663271,-117.969058531096,34.5790350485007,34.6709877795717,100,1,185.815555487739
"3323",3323,"LOS ANGELES",191023.41877722,-374929.12721212,-117.971394212926,-117.859918012084,34.577055562261,34.669109875494,100,1,170.746778700087
"3324",3324,"LOS ANGELES",201023.41877722,-374929.12721212,-117.862379127874,-117.750783165756,34.5749725006803,34.6671282785551,100,1,160.702470190731
"3325",3325,"SAN BERNARDINO",211023.41877722,-374929.12721212,-117.753369695966,-117.641654280865,34.5727858713998,34.6650429960582,100,1,149.589999559191
"3326",3326,"SAN BERNARDINO",221023.41877722,-374929.12721212,-117.644366204959,-117.532531646069,34.5704956824396,34.6628540356871,100,1,149.752776930067
"3327",3327,"SAN BERNARDINO",231023.41877722,-374929.12721212,-117.535368942519,-117.423415549927,34.5681019421975,34.6605614055062,100,1,150.230222405328
"3328",3328,"SAN BERNARDINO",241023.41877722,-374929.12721212,-117.426378196212,-117.314306280892,34.5656046594494,34.6581651139599,100,1,135.2321111891
"3329",3329,"SAN BERNARDINO",251023.41877722,-374929.12721212,-117.317394253502,-117.205204127312,34.5630038433487,34.6556651698729,100,1,171.037284380124
"3330",3330,"SAN BERNARDINO",261023.41877722,-374929.12721212,-117.208417401744,-117.096109377418,34.560299503426,34.6530615824491,100,1,183.045333353678
"3331",3331,"SAN BERNARDINO",271023.41877722,-374929.12721212,-117.099447928181,-116.987022319329,34.557491649589,34.6503543612722,100,1,227.144555155436
"3332",3332,"SAN BERNARDINO",281023.41877722,-374929.12721212,-116.990486119938,-116.877943241035,34.554580292122,34.6475435163047,100,1,181.808555603027
"3333",3333,"SAN BERNARDINO",291023.41877722,-374929.12721212,-116.881532264021,-116.768872430406,34.5515654416857,34.6446290578879,100,1,223.348642419886
"3334",3334,"SAN BERNARDINO",301023.41877722,-374929.12721212,-116.772586647307,-116.659810175176,34.5484471093167,34.6416109967418,100,1,192.072777642144
"3335",3335,"SAN BERNARDINO",311023.41877722,-374929.12721212,-116.663649556547,-116.550756762945,34.5452253064273,34.6384893439639,100,1,180.860555860731
"3336",3336,"SAN BERNARDINO",321023.41877722,-374929.12721212,-116.554721278353,-116.441712481174,34.5419000448052,34.6352641110301,100,1,163.668666585286
"3337",3337,"SAN BERNARDINO",331023.41877722,-374929.12721212,-116.445802099198,-116.332677617178,34.5384713366128,34.6319353097931,100,1,164.608332739936
"3338",3338,"SAN BERNARDINO",341023.41877722,-374929.12721212,-116.336892305414,-116.223652458121,34.5349391943873,34.6285029524829,100,1,158.300370581356
"3339",3339,"SAN BERNARDINO",351023.41877722,-374929.12721212,-116.227992183181,-116.114637291018,34.5313036310397,34.6249670517061,100,1,119.45899971856
"3340",3340,"SAN BERNARDINO",361023.41877722,-374929.12721212,-116.119102018529,-116.00563240272,34.5275646598551,34.6213276204454,100,1,91.9028890821669
"3341",3341,"SAN BERNARDINO",371023.41877722,-374929.12721212,-116.010222097328,-115.896638079919,34.5237222944916,34.6175846720592,100,1,87.9417780558268
"3342",3342,"SAN BERNARDINO",381023.41877722,-374929.12721212,-115.901352705289,-115.787654609139,34.5197765489804,34.6137382202815,100,1,89.2075309282468
"3343",3343,"SAN BERNARDINO",391023.41877722,-374929.12721212,-115.792494127954,-115.678682276732,34.5157274377249,34.609788279221,100,1,92.5018889533149
"3344",3344,"SAN BERNARDINO",401023.41877722,-374929.12721212,-115.683646650697,-115.569721368873,34.5115749755007,34.6057348633611,100,1,94.598888736301
"3345",3345,"SAN BERNARDINO",411023.41877722,-374929.12721212,-115.574810558713,-115.460772171557,34.5073191774546,34.6015779875591,100,1,98.2430001152886
"3346",3346,"SAN BERNARDINO",421023.41877722,-374929.12721212,-115.46598613702,-115.351834970594,34.5029600591048,34.5973176670457,100,1,105.476222229004
"3347",3347,"SAN BERNARDINO",431023.41877722,-374929.12721212,-115.357173670452,-115.242910051604,34.4984976363398,34.592953917425,100,1,130.74814746998
"3348",3348,"SAN BERNARDINO",441023.41877722,-374929.12721212,-115.248373443654,-115.133997700013,34.4939319254183,34.5884867546735,100,1,221.24988861084
"3349",3349,"SAN BERNARDINO",451023.41877722,-374929.12721212,-115.139585741076,-115.025098201049,34.4892629429683,34.5839161951398,100,1,150.267332882351
"3350",3350,"SAN BERNARDINO",461023.41877722,-374929.12721212,-115.030810846975,-114.916211839736,34.4844907059869,34.5792422555439,100,1,134.886778174506
"3351",3351,"SAN BERNARDINO",471023.41877722,-374929.12721212,-114.922049045402,-114.807338900891,34.4796152318397,34.5744649529771,100,1,138.402346010561
"3352",3352,"SAN BERNARDINO",481023.41877722,-374929.12721212,-114.813300620203,-114.698479669119,34.4746365382601,34.5695843049009,100,1,135.169667222765
"3353",3353,"SAN BERNARDINO",491023.41877722,-374929.12721212,-114.704565855014,-114.58963442881,34.4695546433491,34.564600329147,100,1,136.914555697971
"3354",3354,"SAN BERNARDINO",501023.41877722,-374929.12721212,-114.595845033257,-114.480803464132,34.4643695655743,34.5595130439163,100,1,141.791222551134
"3355",3355,"SAN BERNARDINO",510679.57369438,-374998.577782862,-114.487138438132,-114.378068178569,34.4595138623455,34.5543224677786,92.9410796622017,0.929410796622017,115.801250362396
"3356",3356,"SANTA BARBARA",-48189.9656835065,-383728.033568256,-120.588702817881,-120.479087417216,34.505773480261,34.595964535255,70.5792605060916,0.705792605060916,558.915069580078
"3357",3357,"SANTA BARBARA",-38976.58122278,-384929.12721212,-120.479638550034,-120.370147199672,34.5058639446664,34.5963685178032,100,1,558.463796691895
"3358",3358,"SANTA BARBARA",-28976.58122278,-384929.12721212,-120.370573012716,-120.261206004684,34.5062674979516,34.5966688540943,100,1,608.988301391602
"3359",3359,"SANTA BARBARA",-18976.58122278,-384929.12721212,-120.261506494577,-120.152264119923,34.5065675151064,34.5968655430246,100,1,618.060662502713
"3360",3360,"SANTA BARBARA",-8976.58122278,-384929.12721212,-120.152439284281,-120.04332183307,34.5067639950332,34.5969585838711,100,1,647.272500305176
"3361",3361,"SANTA BARBARA",1023.41877722,-384929.12721212,-120.043371670505,-119.934303941931,34.5068463407056,34.5969585838711,100,1,712.664900512695
"3362",3362,"SANTA BARBARA",11023.41877722,-384929.12721212,-119.934379431815,-119.825236387244,34.50673220615,34.596947976292,100,1,721.468999633789
"3363",3363,"SANTA BARBARA",21023.41877722,-384929.12721212,-119.825437203848,-119.716169295125,34.5065145337637,34.5968337203261,100,1,731.026555718316
"3364",3364,"SANTA BARBARA",31023.41877722,-384929.12721212,-119.716495436857,-119.607102954248,34.5061933243431,34.5966158163935,100,1,773.656599121094
"3365",3365,"SANTA BARBARA",41023.41877722,-384929.12721212,-119.607554418521,-119.498037653277,34.5057685790635,34.5962942652949,100,1,867.170501708984
"3366",3366,"VENTURA",51023.41877722,-384929.12721212,-119.49861443651,-119.388973680856,34.5052402994788,34.5958690682122,100,1,1096.39010437012
"3367",3367,"VENTURA",61023.41877722,-384929.12721212,-119.389675778475,-119.27991132561,34.5046084875219,34.5953402267079,99.9999999999999,0.999999999999999,1111.55189941406
"3368",3368,"VENTURA",71023.41877722,-384929.12721212,-119.280738732047,-119.170850876139,34.503873145504,34.5947077427255,100,1,792.916446940104
"3369",3369,"VENTURA",81023.41877722,-384929.12721212,-119.171803584831,-119.06179262101,34.5030342761151,34.5939716185893,100,1,778.509003295898
"3370",3370,"VENTURA",91023.41877722,-384929.12721212,-119.062870624404,-118.952736848759,34.5020918824237,34.5931318570039,100,1,768.719800415039
"3371",3371,"VENTURA",101023.41877722,-384929.12721212,-118.953940138306,-118.843683847879,34.5010459678766,34.5921884610549,100,1,676.536796875
"3372",3372,"VENTURA",111023.41877722,-384929.12721212,-118.845012414038,-118.734633906822,34.4998965362989,34.5911414342084,100,1,556.787447102865
"3373",3373,"LOS ANGELES",121023.41877722,-384929.12721212,-118.736087739059,-118.625587313988,34.4986435918938,34.5899907803105,100,1,517.147999572754
"3374",3374,"LOS ANGELES",131023.41877722,-384929.12721212,-118.627166400778,-118.516544357727,34.4972871392428,34.588736503588,100,1,475.131099243164
"3375",3375,"LOS ANGELES",141023.41877722,-384929.12721212,-118.518248686551,-118.40750532633,34.495827183305,34.5873786086475,100,1,471.598899230957
